Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags
Final Fight CD,Final Fight CD,finalfight,Europe,1993-09,A-Wave/T's Music,SEGA,#players:2:coop #genre:brawler #addon:megacd #port:arcade #lang:en
Final Fight CD,Final Fight CD@Final Fight CD ファイナルファイト CD,finalfight,Japan,1993-04-02,A-Wave/T's Music,SEGA,#players:2:coop #genre:brawler #addon:megacd #port:arcade #lang:ja
Final Fight CD,Final Fight CD@Final Fight CD ファイナルファイト CD,finalfight,Japan,,A-Wave/T's Music,SEGA,#players:2:coop #genre:brawler #addon:megacd #port:arcade #lang:ja #rev:1
Final Fight CD,Final Fight CD,finalfight,USA,1993-06,A-Wave/T's Music,SEGA,#players:2:coop #genre:brawler #addon:megacd #port:arcade #lang:en
Final Fight CD,Final Fight CD,finalfight,USA,1993-06,A-Wave/T's Music,SEGA,#players:2:coop #genre:brawler #addon:megacd #port:arcade #lang:en #alt:1
Final Fight CD,Final Fight CD,finalfight,USA,1993-06,A-Wave/T's Music,SEGA,#players:2:coop #genre:brawler #addon:megacd #port:arcade #lang:en #alt:2
Flashback,,flashback,Europe,1994,Delphine,U.S. Gold,#players:1 #genre:action:platformer #addon:megacd #port:megadrive #save:password #lang:en #unfinished:proto
Flashback,Flashback: The Quest for Identity,flashback,USA,1994-11,Delphine,U.S. Gold,#players:1 #genre:action:platformer #addon:megacd #port:megadrive #save:password #lang:en
The Misadventures of Flink,Flink,flink,Europe,1994,Psygnosis,Sony Electronic,#players:1 #genre:platformer #addon:megacd #port:megadrive #lang:en:fr:de:es:nl
The Misadventures of Flink,Flink,flink,USA,1995-02,Psygnosis,VIC Tokai,#players:1 #genre:platformer #addon:megacd #port:megadrive #lang:en:fr:de:es:nl
Force Striker,Burning Fists: Force Striker,burningfistsforcestriker,USA,2006,KAZe/SEGA CS3,Good Deal,#players:2:vs #genre:fighting #addon:megacd:6button #lang:en #unlicensed
Formula One World Championship: Beyond the Limit,Formula One World Championship: Beyond the Limit,heavenlysymphony,Europe,1994-09,SEGA CS3/Fuji TV,SEGA,#players:1 #genre:racing:sports>formula1 #addon:megacd:backupramcart #save:backup #based #official:sports $sonic #lang:en
Formula One World Championship: Beyond the Limit,Formula One World Championship: Beyond the Limit,heavenlysymphony,USA,1994-08,SEGA CS3/Fuji TV,SEGA,#players:1 #genre:racing:sports>formula1 #addon:megacd:backupramcart #save:backup #based #official:sports $sonic #lang:en
Formula One World Championship 1993: Heavenly Symphony,Heavenly Symphony: Formula One World Championship 1993@Heavenly Symphony ヘブンリーシンフォニー Formula One World Championship 1993,heavenlysymphony,Japan,1994-04-23,SEGA CS3/Fuji TV,SEGA,#players:1 #genre:racing:sports>formula1 #addon:megacd:backupramcart #save:backup #based #official:sports $sonic #lang:ja
Formula One World Championship 1993: Heavenly Symphony,Heavenly Symphony: Formula One World Championship 1993@Heavenly Symphony ヘブンリーシンフォニー Formula One World Championship 1993,heavenlysymphony,Japan,,SEGA CS3/Fuji TV,SEGA,#players:1 #genre:racing:sports>formula1 #addon:megacd:backupramcart #save:backup #based #official:sports $sonic #lang:ja #unfinished:sample
Fresh Cleaner,Fresh Cleaner@Fresh Cleaner フレッシュクリーナー,freshcleaner,Japan,1993-10-08,Mumin,Mumin,#players:1 #genre:application #addon:megacd #lang:ja
